Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
4800 BLOCK OF N BASIN AVE,22-901543,Property,Overlook,1/7/2022,1201,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.557919661,-122.699314510,1/13/2022,1
4800 BLOCK OF N GAY AVE,22-6762,Property,Overlook,1/8/2022,0348,Motor Vehicle Theft,Motor Vehicle Theft,45.557991660,-122.690080648,1/8/2022,1
4800 BLOCK OF N HARVARD ST,22-902268,Property,University Park,1/22/2022,2330,Larceny Offenses,Theft From Motor Vehicle,45.574840306,-122.722977366,1/24/2022,1
4800 BLOCK OF N MARYLAND AVE,22-902721,Property,Overlook,1/27/2022,1000,Larceny Offenses,Theft From Motor Vehicle,45.557922432,-122.681165522,1/27/2022,1
4800 BLOCK OF N MONTANA AVE,22-12332,Property,Overlook,1/14/2022,0150,Larceny Offenses,Theft From Motor Vehicle,45.557924854,-122.680025198,1/14/2022,1
4800 BLOCK OF N MONTANA AVE,22-12426,Property,Overlook,1/14/2022,0200,Burglary,Burglary,45.557925227,-122.680150190,1/14/2022,1
4800 BLOCK OF N MONTANA AVE,22-901545,Property,Overlook,1/14/2022,0040,Larceny Offenses,Theft From Motor Vehicle,45.557925227,-122.680150190,1/14/2022,1
4800 BLOCK OF N WILLIS BLVD,22-27431,Person,Portsmouth,1/29/2022,1753,Assault Offenses,Aggravated Assault,45.584134966,-122.716910105,1/29/2022,1
4800 BLOCK OF N WILLIS BLVD,22-27431,Society,Portsmouth,1/29/2022,1753,Weapon Law Violations,Weapons Law Violations,45.584134966,-122.716910105,1/29/2022,1
4800 BLOCK OF N WILLIS BLVD,22-901681,Property,Portsmouth,11/28/2021,1320,Fraud Offenses,Identity Theft,45.584134966,-122.716910105,1/17/2022,1
4800 BLOCK OF NE 10TH AVE,22-901188,Property,King,1/10/2022,2330,Vandalism,Vandalism,45.557766704,-122.655672166,1/11/2022,1
4800 BLOCK OF NE 30TH AVE,22-13558,Property,Concordia,1/15/2022,1513,Fraud Offenses,False Pretenses/Swindle/Confidence Game,45.557994936,-122.634911400,1/15/2022,1
4800 BLOCK OF NE 86TH AVE,22-7218,Property,Sumner,1/9/2022,0345,Motor Vehicle Theft,Motor Vehicle Theft,45.558263493,-122.574375088,1/9/2022,1
4800 BLOCK OF NE 138TH AVE,22-25568,Property,Argay,1/27/2022,1656,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.557770301,-122.521193394,1/27/2022,1
4800 BLOCK OF NE 138TH AVE,22-26438,Property,Argay,1/28/2022,1454,Motor Vehicle Theft,Motor Vehicle Theft,45.557770301,-122.521193394,1/28/2022,1
4800 BLOCK OF NE 138TH AVE,22-900572,Property,Argay,1/9/2022,1757,Larceny Offenses,Shoplifting,45.557770301,-122.521193394,1/10/2022,1
4800 BLOCK OF NE 138TH AVE,22-901826,Property,Argay,1/16/2022,1540,Larceny Offenses,Shoplifting,45.557770301,-122.521193394,1/17/2022,1
4800 BLOCK OF NE 138TH AVE,22-902040,Property,Argay,1/20/2022,1056,Larceny Offenses,Shoplifting,45.557770301,-122.521193394,1/21/2022,1
4800 BLOCK OF NE FREMONT ST,22-6104,Property,Rose City Park,12/23/2021,0800,Motor Vehicle Theft,Motor Vehicle Theft,45.548236929,-122.613177263,1/7/2022,1
4800 BLOCK OF NE GLISAN ST,22-14403,Property,North Tabor,1/15/2022,0600,Larceny Offenses,Theft From Motor Vehicle,45.526565068,-122.613334738,1/16/2022,1
4800 BLOCK OF NE GLISAN ST,22-23633,Property,North Tabor,1/25/2022,0900,Motor Vehicle Theft,Motor Vehicle Theft,45.526565068,-122.613334738,1/25/2022,1
4800 BLOCK OF NE GLISAN ST,22-23694,Property,North Tabor,1/25/2022,2123,Larceny Offenses,Theft From Motor Vehicle,45.526565068,-122.613334738,1/25/2022,1
4800 BLOCK OF NE GLISAN ST,22-23694,Property,North Tabor,1/25/2022,2123,Vandalism,Vandalism,45.526565068,-122.613334738,1/25/2022,1
4800 BLOCK OF NE GLISAN ST,22-900234,Property,North Tabor,1/6/2022,0655,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.526565068,-122.613334738,1/6/2022,1
4800 BLOCK OF NE GLISAN ST,22-902042,Property,North Tabor,1/6/2022,1000,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.526565068,-122.613334738,1/21/2022,1
4800 BLOCK OF NE SKIDMORE ST,22-900105,Property,Cully,1/3/2022,0415,Larceny Offenses,Theft From Motor Vehicle,45.553679901,-122.612895711,1/3/2022,1
